id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
13685801,samsung,galaxy s23 ultra,849.0,256 GB,6.8,200.0,5G,green,4.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-ultra-5g-256-gb-6-8-200-mp-gr%C3%BCn--p0013685801
14040952,samsung,galaxy s23 fe,629.0,256 GB,6.4,50.0,5G,graphite,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-fe-256-gb-graphite-6-4-50-mp-5g--p0014040952
14082853,xiaomi,redmi 13c,149.95,256 GB,6.74,50.0,,black,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-13c-256-gb-schwarz-6-74-50-mp--p0014082853
13899646,apple,iphone 15,749.0,128 GB,6.1,48.0,5G,yellow,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-128-gb-gelb-6-1-48-mp-5g--p0013899646
13685803,samsung,galaxy s23 ultra,849.0,256 GB,6.8,200.0,5G,creme,3.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-ultra-5g-256-gb-6-8-200-mp-creme--p0013685803
14040955,samsung,galaxy s23 fe,499.0,128 GB,6.4,50.0,5G,mint,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-fe-128-gb-mint-6-4-50-mp-5g--p0014040955
14074049,samsung,galaxy a15,179.95,128 GB,6.5,50.0,,yellow,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a15-128-gb-gelb-6-5-50-mp--p0014074049
13899734,apple,iphone 15 pro max,1599.0,1 TB,6.7,48.0,5G,titanium black,,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-1-tb-titan-schwarz-6-7-48-mp-5g--p0013899734
13899704,apple,iphone 15 pro,1279.0,512 GB,6.1,48.0,5G,titanium black,,,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-512-gb-titan-schwarz-6-1-48-mp-5g--p0013899704
1018397,apple,iphone 13,549.0,128 GB,6.1,12.0,5G,(product)red,4.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-128-gb-product-red-6-1-12-mp-5g--p0002866476
14070437,samsung,galaxy s24 ultra,1499.0,1000 GB,6.8,200.0,5G,titanium black,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-ultra-1000-gb-titanium-black-6-8-200-mp-5g--p0014070437
14082852,xiaomi,redmi 13c,149.95,256 GB,6.74,50.0,,blue,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-13c-256-gb-blau-6-74-50-mp--p0014082852
6242462,apple,iphone se 2022,389.0,64 GB,4.7,12.0,5G,(product)red,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-64-gb-product-red-4-7-12-mp-5g--p0006242462
13899737,apple,iphone 15 pro max,1599.0,1 TB,6.7,48.0,5G,blue titanium,,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-1-tb-titan-blau-6-7-48-mp-5g--p0013899737
14103195,samsung,galaxy a55 5g,429.95,128 GB,6.6,50.0,5G,awesome iceblue,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-128-gb-awesome-iceblue-6-6-50-mp-5g--p0014103195
9071628,apple,iphone 14,729.0,256 GB,6.1,12.0,5G,polar star,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-256-gb-6-1-12-mp-polarstern--p0009071628
14070422,samsung,galaxy s24,799.0,256 GB,6.2,50.0,5G,cobalt violet,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-256-gb-cobalt-violet-6-2-50-mp-5g--p0014070422
14103189,samsung,galaxy a35 5g,359.95,128 GB,6.6,50.0,5G,awesome lilac,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a35-5g-128-gb-awesome-lilac-6-6-50-mp-5g--p0014103189
997928,apple,iphone 12,519.0,128 GB,6.1,12.0,5G,black,12.0,4.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-12-5g-128-gb-6-1-12-mp-schwarz--p0002551075
997912,apple,iphone 12,519.0,128 GB,6.1,12.0,5G,violet,,4.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-12-5g-128-gb-6-1-12-mp-violett--p0002744772
