id,brand,model,price,screen,camera,network,color,number_reviews,delivery_time,pickup_time,date,memory_GB,rating100,screen_price_ratio
9071644.0,APPLE,iPhone 14 Plus,729.0,"6.7""",12 MP,5G,Polarstern,,1.0,1.0,2024-04-11,128.0,,0.009190672153635117
997922.0,APPLE,iPhone 12,459.0,"6.1""",12 MP,5G,Weiss,,1.0,1.0,2024-04-11,64.0,100.0,0.013289760348583876
14070440.0,SAMSUNG,Galaxy S24 Ultra,1299.0,"6.8""",200 MP,5G,Titanium Violet,,1.0,1.0,2024-04-11,512.0,100.0,0.005234795996920708
13899669.0,APPLE,iPhone 15 Plus,849.0,"6.7""",48 MP,5G,Pink,,,,2024-04-11,128.0,100.0,0.007891637220259129
1018404.0,APPLE,iPhone 13,649.0,"6.1""",12 MP,5G,(PRODUCT)RED,,1.0,1.0,2024-04-11,256.0,100.0,0.009399075500770416
14040954.0,SAMSUNG,Galaxy S23 FE,629.0,"6.4""",50 MP,5G,Mint,,1.0,1.0,2024-04-11,256.0,,0.010174880763116057
13899710.0,APPLE,iPhone 15 Pro,1499.0,"6.1""",48 MP,5G,Titan Schwarz,,,,2024-04-11,1000.0,,0.004069379586390927
14040950.0,SAMSUNG,Galaxy S23 FE,629.0,"6.4""",50 MP,5G,Violett,,1.0,1.0,2024-04-11,256.0,,0.010174880763116057
13685805.0,SAMSUNG,Galaxy A34 5G,319.95,"6.6""",48 MP,5G,Awesome Violet,5.0,1.0,1.0,2024-04-11,128.0,100.0,0.02062822315986873
9071653.0,APPLE,iPhone 14 Plus,829.0,"6.7""",12 MP,5G,Violett,,1.0,1.0,2024-04-11,256.0,,0.008082026537997588
14103183.0,SAMSUNG,Galaxy A35 5G,359.95,"6.6""",50 MP,5G,Awesome Iceblue,,1.0,1.0,2024-04-11,128.0,,0.018335879983331017
13956869.0,FAIRPHONE,Fairphone 5,629.95,"6.46""",50 MP,5G,Sky Blue,,14.0,14.0,2024-04-11,256.0,,0.01025478212556552
13922049.0,OPPO,A78,179.95,"6.43""",50 MP,,Schwarz,,1.0,1.0,2024-04-11,128.0,,0.035732147818838565
9071646.0,APPLE,iPhone 14 Plus,729.0,"6.7""",12 MP,5G,(PRODUCT)RED,,1.0,1.0,2024-04-11,128.0,100.0,0.009190672153635117
997932.0,APPLE,iPhone 12,519.0,"6.1""",12 MP,5G,Grün,4.0,1.0,1.0,2024-04-11,128.0,100.0,0.011753371868978804
9071622.0,APPLE,iPhone 14,629.0,"6.1""",12 MP,5G,(PRODUCT)RED,,1.0,1.0,2024-04-11,128.0,100.0,0.00969793322734499
13899654.0,APPLE,iPhone 15,849.0,"6.1""",48 MP,5G,Gelb,,1.0,1.0,2024-04-11,256.0,,0.0071849234393404
14082864.0,XIAOMI,Redmi Note 13,199.95,"6.67""",108 MP,,Mintgrün,,1.0,1.0,2024-04-11,256.0,,0.03335833958489622
9071645.0,APPLE,iPhone 14 Plus,729.0,"6.7""",12 MP,5G,Violett,,1.0,1.0,2024-04-11,128.0,100.0,0.009190672153635117
979880.0,APPLE,iPhone 11,449.0,"6.1""",12 MP,,Schwarz,25.0,1.0,1.0,2024-04-11,128.0,100.0,0.013585746102449888
14070429.0,SAMSUNG,Galaxy S24+,949.0,"6.7""",50 MP,5G,Marble Gray,,1.0,1.0,2024-04-11,256.0,,0.007060063224446786
,XIAOMI,Redmi A2,80.45,"6.52""",8 MP,,Hellblau,,14.0,14.0,2024-04-11,32.0,,0.0810441267868241
13944411.0,NOKIA,2660 Flip,69.95,"2.8""",0.3 MP,,Rot,,1.0,1.0,2024-04-11,0.128,50.0,0.04002859185132237
14025009.0,GOOGLE,Pixel 8 Pro,779.0,"6.7""",50 MP,5G,Obsidian,,1.0,1.0,2024-04-11,128.0,,0.008600770218228498
13959590.0,FAIRPHONE,Fairphone 5,629.95,"6.46""",50 MP,5G,Mattschwarz,,1.0,1.0,2024-04-11,256.0,100.0,0.01025478212556552
13900931.0,SONY,Xperia 10 V,419.95,"6.1""",48 MP,5G,Schwarz,,1.0,1.0,2024-04-11,128.0,100.0,0.014525538754613643
5068650.0,EMPORIA,emporiaSIMPLICITYglam,74.95,"2.8""",0 MP,,"Schwarz, Weiss",,1.0,1.0,2024-04-11,0.06,60.0,0.03735823882588392
9071651.0,APPLE,iPhone 14 Plus,829.0,"6.7""",12 MP,5G,Mitternacht,,1.0,1.0,2024-04-11,256.0,100.0,0.008082026537997588
14110924.0,NOTHING,Phone 2a,329.95,"6.7""",50 MP,,Schwarz,,1.0,1.0,2024-04-11,128.0,,0.020306106985906958
13685787.0,SAMSUNG,Galaxy S23,699.0,"6.1""",50 MP,5G,Phantom Black,,1.0,1.0,2024-04-11,256.0,100.0,0.008726752503576537
5025169.0,EMPORIA,Touch smart.2,149.0,"3.25""",8 MP,,"Schwarz, Metallic",,1.0,1.0,2024-04-11,8.0,,0.02181208053691275
13899680.0,APPLE,iPhone 15 Plus,949.0,"6.7""",48 MP,5G,Grün,,1.0,1.0,2024-04-11,256.0,100.0,0.007060063224446786
9071639.0,APPLE,iPhone 14,899.0,"6.1""",12 MP,5G,Blau,,1.0,1.0,2024-04-11,512.0,,0.0067853170189099
14032942.0,XIAOMI,Redmi Note 12,199.95,"6.67""",50 MP,,Grau,,14.0,14.0,2024-04-11,256.0,,0.03335833958489622
1023782.0,SAMSUNG,Galaxy S22,519.0,"6.1""",50 MP,5G,Phantom Black,6.0,1.0,1.0,2024-04-11,128.0,90.0,0.011753371868978804
9071643.0,APPLE,iPhone 14 Plus,729.0,"6.7""",12 MP,5G,Mitternacht,3.0,1.0,1.0,2024-04-11,128.0,90.0,0.009190672153635117
14070444.0,SAMSUNG,Galaxy S24 Ultra,1199.0,"6.8""",200 MP,5G,Titanium Violet,,1.0,1.0,2024-04-11,256.0,,0.00567139282735613
