id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
13899735,APPLE,iPhone 15 Pro Max,1599.0,1 TB,"6.7""",48 MP,5G,Titan Weiss,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-1-tb-titan-weiss-6-7-48-mp-5g--p0013899735
14070437,SAMSUNG,Galaxy S24 Ultra,1499.0,1000 GB,"6.8""",200 MP,5G,Titanium Black,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-ultra-1000-gb-titanium-black-6-8-200-mp-5g--p0014070437
13899737,APPLE,iPhone 15 Pro Max,1599.0,1 TB,"6.7""",48 MP,5G,Titan Blau,,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-1-tb-titan-blau-6-7-48-mp-5g--p0013899737
14103195,SAMSUNG,Galaxy A55 5G,429.95,128 GB,"6.6""",50 MP,5G,Awesome Iceblue,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-128-gb-awesome-iceblue-6-6-50-mp-5g--p0014103195
14082853,XIAOMI,Redmi 13C,149.95,256 GB,"6.74""",50 MP,,Schwarz,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-13c-256-gb-schwarz-6-74-50-mp--p0014082853
14070422,SAMSUNG,Galaxy S24,799.0,256 GB,"6.2""",50 MP,5G,Cobalt Violet,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-256-gb-cobalt-violet-6-2-50-mp-5g--p0014070422
13899679,APPLE,iPhone 15 Plus,949.0,256 GB,"6.7""",48 MP,5G,Blau,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-256-gb-blau-6-7-48-mp-5g--p0013899679
6242462,APPLE,iPhone SE 2022,389.0,64 GB,"4.7""",12 MP,5G,(PRODUCT)RED,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-64-gb-product-red-4-7-12-mp-5g--p0006242462
9071628,APPLE,iPhone 14,729.0,256 GB,"6.1""",12 MP,5G,Polarstern,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-256-gb-6-1-12-mp-polarstern--p0009071628
14103193,SAMSUNG,Galaxy A55 5G,429.95,128 GB,"6.6""",50 MP,5G,Awesome Lilac,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-128-gb-awesome-lilac-6-6-50-mp-5g--p0014103193
5865115,EMPORIA,JOY- LTE,89.9,0.128 GB,"2.8""",2 MP,,Schwarz,3,4.5,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/emporia-joy-lte-0-128-gb-2-8-2-mp-schwarz--p0005865115
